menu_item_id,restaurant_id,item_name,price,stock_qty,version
1,34,Goi Cuon,70000.0,72,0
2,76,Tiramisu Cake,110000.0,60,0
3,195,Banh Mi Dac Biet,110000.0,62,0
4,19,Ca Phe Sua Da,80000.0,94,0
5,189,Sua Chua,115000.0,44,0
6,152,Sua Chua,140000.0,96,0
7,149,Pho Bo,45000.0,54,0
8,200,Ca Phe Sua Da,85000.0,41,0
9,98,Che Thap Cam,95000.0,27,0
10,107,Pizza Hai San,130000.0,62,0
11,189,Ca Phe Sua Da,75000.0,98,0
12,132,Banh Mi Dac Biet,150000.0,92,0
13,2,Ga Ran,70000.0,31,0
14,23,Tra Sua Tran Chau,40000.0,73,0
15,93,Sua Chua,80000.0,92,0
16,105,Tiramisu Cake,120000.0,72,0
17,190,Banh Mi Dac Biet,45000.0,66,0
18,195,Trai Cay Tuoi,75000.0,67,0
19,77,Bun Cha,115000.0,48,0
20,71,Hu Tieu,100000.0,33,0
21,157,Ca Phe Sua Da,95000.0,32,0
22,145,Bun Cha,70000.0,79,0
23,100,Che Thap Cam,135000.0,86,0
24,150,Pizza Hai San,130000.0,56,0
25,177,Banh Moouse,75000.0,50,0
26,144,Mi Cay,130000.0,95,0
27,5,Banh Trang Tron,80000.0,27,0
28,135,Ca Phe Sua Da,110000.0,66,0
29,106,Bun Cha,100000.0,35,0
30,73,Che Thap Cam,85000.0,70,0
31,94,Sua Chua,65000.0,55,0
32,122,Che Thap Cam,110000.0,63,0
33,80,Com Tam Suon Nuong,120000.0,46,0
34,12,Pho Bo,85000.0,22,0
35,114,Banh Mi Dac Biet,35000.0,87,0
36,152,Che Thap Cam,100000.0,35,0
37,109,Ga Ran,150000.0,29,0
38,131,Bun Cha,60000.0,82,0
39,143,Bun Cha,50000.0,20,0
40,122,Ca Phe Sua Da,105000.0,31,0
41,71,Banh Mi Dac Biet,130000.0,90,0
42,45,Pho Bo,130000.0,28,0
43,39,Hu Tieu,40000.0,25,0
44,7,Mi Cay,50000.0,87,0
45,105,Trai Cay Tuoi,110000.0,33,0
46,107,Banh Moouse,35000.0,71,0
