order_id,customer_id,driver_id,total_price,payment_method,status,version
1,1362,,70000.0,CASH,CANCELLED,0
2,1352,,430000.0,CASH,PENDING,0
3,1212,85,75000.0,QR_CODE,CONFIRMED,0
4,1516,6,205000.0,CASH,DELIVERING,0
5,1170,,150000.0,QR_CODE,PENDING,0
6,1973,78,855000.0,QR_CODE,DELIVERING,0
7,1403,,50000.0,CASH,CANCELLED,0
8,1259,85,825000.0,QR_CODE,CONFIRMED,0
9,133,,285000.0,ONLINE_PAYMENT,PENDING,0
10,1244,192,360000.0,CASH,DELIVERED,0
11,52,,470000.0,CASH,CANCELLED,0
12,966,41,85000.0,CASH,DELIVERING,0
13,543,,140000.0,CASH,PENDING,0
14,338,,390000.0,QR_CODE,CANCELLED,0
15,1968,,510000.0,QR_CODE,CANCELLED,0
16,1953,205,80000.0,CASH,CONFIRMED,0
17,1042,149,275000.0,ONLINE_PAYMENT,CONFIRMED,0
18,511,187,315000.0,ONLINE_PAYMENT,DELIVERED,0
19,201,296,535000.0,QR_CODE,DELIVERED,0
20,58,256,470000.0,CASH,DELIVERING,0
21,863,11,325000.0,CASH,DELIVERED,0
22,141,39,160000.0,QR_CODE,DELIVERING,0
23,1381,196,180000.0,ONLINE_PAYMENT,CONFIRMED,0
24,665,56,310000.0,CASH,DELIVERING,0
25,308,179,295000.0,QR_CODE,CONFIRMED,0
26,1195,,480000.0,ONLINE_PAYMENT,CANCELLED,0
27,1321,,305000.0,CASH,PENDING,0
28,270,3,305000.0,ONLINE_PAYMENT,DELIVERED,0
29,114,262,270000.0,ONLINE_PAYMENT,DELIVERED,0
30,1112,,470000.0,ONLINE_PAYMENT,CANCELLED,0
31,1880,273,785000.0,ONLINE_PAYMENT,DELIVERED,0
32,587,,250000.0,ONLINE_PAYMENT,CANCELLED,0
33,1894,300,435000.0,ONLINE_PAYMENT,DELIVERED,0
34,920,,705000.0,QR_CODE,PENDING,0
35,506,,195000.0,QR_CODE,CANCELLED,0
36,1577,28,210000.0,CASH,CONFIRMED,0
37,1409,113,385000.0,CASH,DELIVERING,0
38,147,,350000.0,CASH,CANCELLED,0
39,1005,278,530000.0,ONLINE_PAYMENT,DELIVERING,0
40,628,,225000.0,QR_CODE,PENDING,0
41,519,20,225000.0,CASH,CONFIRMED,0
42,1924,222,255000.0,ONLINE_PAYMENT,DELIVERED,0
43,1464,55,330000.0,QR_CODE,DELIVERING,0
44,688,,200000.0,CASH,CANCELLED,0
45,104,135,45000.0,CASH,DELIVERING,0
46,1521,99,875000.0,QR_CODE,CONFIRMED,0
47,1643,81,645000.0,CASH,DELIVERED,0
48,1351,149,120000.0,ONLINE_PAYMENT,CONFIRMED,0
49,1186,16,405000.0,QR_CODE,DELIVERED,0
50,1705,166,575000.0,QR_CODE,DELIVERED,0
51,1202,148,60000.0,CASH,CONFIRMED,0
52,571,63,240000.0,QR_CODE,CONFIRMED,0
53,1089,,720000.0,CASH,CANCELLED,0
54,551,119,130000.0,CASH,DELIVERED,0
55,276,,455000.0,QR_CODE,PENDING,0
56,986,,365000.0,CASH,CANCELLED,0
57,1692,,580000.0,CASH,CANCELLED,0
58,1171,219,45000.0,ONLINE_PAYMENT,DELIVERED,0
59,691,72,125000.0,CASH,CONFIRMED,0
60,872,,525000.0,QR_CODE,CANCELLED,0
